description,component
"Komputer sering restart tiba-tiba dan muncul layar biru",RAM
"Komputer tidak bisa booting, hanya muncul layar hitam",Hard Disk
"Suara bip panjang saat komputer dinyalakan, tidak masuk ke sistem",Motherboard
"Komputer berjalan sangat lambat dan sering hang",RAM
"File sering corrupt dan ada suara klik dari hard disk",Hard Disk
"Komputer tidak mendeteksi perangkat USB",Motherboard
"Monitor tidak menampilkan gambar meskipun komputer sudah dinyalakan",Graphic Card
"Komputer overheat setelah beberapa menit penggunaan",Processor
"Komputer tiba-tiba mati saat menjalankan aplikasi berat",Power Supply
"Ada bau terbakar dari dalam casing komputer saat dinyalakan",Power Supply
"Komputer sangat lambat dan aplikasi sering crash",RAM
"Monitor berkedip-kedip dan menampilkan garis-garis",Graphic Card
"Komputer tidak bisa membaca hard disk",Hard Disk
"Komputer sering restart dan ada suara keras dari kipas",Power Supply
"Tidak ada suara saat komputer dinyalakan",Motherboard
"Port USB tidak berfungsi meski sudah coba beberapa perangkat",Motherboard
"Komputer menyala tetapi tidak ada tampilan di monitor",Graphic Card
"Komputer tiba-tiba mati saat digunakan untuk rendering video",Processor
"Ada bau terbakar dan asap dari komputer",Power Supply
"Komputer tidak mendeteksi hard disk pada BIOS",Hard Disk
"Monitor tidak menyala meskipun komputer sudah dihidupkan",Graphic Card
"Komputer mengalami overheat saat digunakan dalam waktu lama",Processor
"Komputer nyala tapi tidak tampil di layar",Graphic Card
"Komputer saat menjalani game berat langsung mati",Processor
"Layar muncul seperti kesemutan atau kedap kedip",Graphic Card
"Komputer tidak bisa menyala meskipun sudah ditekan tombol power",Power Supply
"Layar komputer sering mati sendiri setelah digunakan beberapa saat",Graphic Card
"Komputer berjalan sangat lambat saat membuka aplikasi",Processor
"Saat booting muncul pesan error 'no bootable device found'",Hard Disk
"Blue screen secara tiba-tiba saat sedang bekerja",RAM
"USB port tidak mendeteksi perangkat apapun",Motherboard
"Setelah upgrade RAM, komputer tidak mau menyala",RAM
"Aplikasi sering crash dan restart secara otomatis",Hard Disk
"PC tiba-tiba mati terus kalo main game, padahal sebelumnya aman-aman aja",Power Supply
"Kayaknya RAM-nya deh, soalnya komputernya nge-freeze mulu tiap buka banyak tab",RAM
"Pas nyalain PC, malah ada suara 'bip' panjang, layarnya tetep gelap",Motherboard
"Hardisk kayaknya rusak deh, soalnya file-file gue pada hilang dan suka ada suara aneh dari CPU",Hard Disk
"Udah dicolokin USB-nya tapi gak kebaca sama sekali, udah coba ganti-ganti colokan juga",Motherboard
"Monitor gak nyala, tapi kipas CPU jalan, kira-kira kenapa ya?",Graphic Card
"PC gue cepet panas banget kalo dipake render, bisa mati sendiri",Processor
"Komputer suka restart sendiri tiba-tiba, mungkin karena power supply-nya kali ya",Power Supply
"Setiap kali nyalain komputer, ada bau kayak kebakar dari casing, serem sih",Power Supply
"Pas main game berat, komputernya langsung nge-lag parah terus crash",RAM
"Monitor suka ada garis-garis aneh, terus gambarnya juga jadi buram",Graphic Card
"Baru upgrade RAM, tapi sekarang PC malah gak nyala, kenapa ya?",RAM
"USB udah dicolokin tapi gak ke-detect, padahal kemarin masih normal",Motherboard
"Komputer suka freeze tiap kali buka aplikasi berat, jalannya jadi lambat banget",Processor
"Komputer suka restart sendiri, terus ada suara kipas kenceng banget",Power Supply
"Pas nyalain komputer, gak ada suara 'beep' sama sekali, kayak mati total gitu",Motherboard
"Hardisk gak kebaca pas masuk BIOS, udah restart beberapa kali tetep sama",Hard Disk
"PC suka ngelag pas dipake nonton film HD, padahal dulu lancar banget",RAM
"Komputer tiba-tiba mati saat nyoba buka file besar, terus gak bisa nyala lagi",Power Supply
"Layar suka kedip-kedip pas lagi browsing, udah restart tetep sama",Graphic Card
"Baru beberapa menit dipake, komputer udah panas banget, CPU fan bunyi kenceng",Processor
"USB gak ke-detect sama sekali, udah coba beberapa kali tetep gak bisa",Motherboard
"Komputer kadang mati sendiri waktu baru dinyalain, terus susah nyala lagi",Power Supply
"PC nge-freeze pas mau transfer file dari hardisk eksternal, terus tiba-tiba mati",Hard Disk
"Setiap buka aplikasi google youtube dan lainnya, komputer suka lambat banget, nge-lag parah",RAM
"Monitor gak nyala padahal kabel udah terpasang, cuma CPU yang kedengeran bunyinya",Graphic Card
"PC overheat terus mati mendadak tiap kali dipake buat rendering video",Processor
"Ada bau gosong dari power supply waktu komputer dinyalain",Power Supply
"Komputer gak bisa booting, cuma layar hitam doang yang muncul",Hard Disk
"Pas nyalain komputer, muncul suara bip panjang, terus gak masuk ke Windows",Motherboard
"PC tiba-tiba hang terus restart sendiri, sering banget terjadi",RAM
"Monitor cuma hitam aja, gak ada gambar, padahal PC nyala normal",Graphic Card
"Komputer gue sering restart tiba-tiba kalau lagi main game, bingung kenapa",Power Supply
"USB port gak berfungsi, udah coba colokin mouse dan keyboard tapi gak kedetect",Motherboard
"PC tiba-tiba mati waktu gue lagi transfer file ke hardisk",Hard Disk
"Layar tiba-tiba kedap kedip pas lagi streaming, padahal sebelumnya gak apa-apa",Graphic Card
"Komputer suka panas banget meski cuma dipake browsing biasa",Processor
"Hardisk gak bisa kebaca, jadi gak bisa booting sama sekali",Hard Disk
"Suara kipas CPU kenceng banget terus PC tiba-tiba mati sendiri",Power Supply
"Pas buka program desain, PC langsung lambat terus sering nge-freeze",RAM
"Monitor gak nyala, udah coba ganti kabel tetep gak ada tampilan",Graphic Card
"PC gue cepet banget overheat, abis dipake beberapa menit langsung panas",Processor
"Komputer tiba-tiba mati pas lagi download file besar",Power Supply
"Layar monitor berkedip-kedip terus muncul garis-garis aneh",Graphic Card
"PC suka mati mendadak kalau dipake buat ngedit video",Processor
"Ada suara klik dari hardisk terus file gue jadi sering corrupt",Hard Disk
"Monitor gak nampil apa-apa, tapi kipas CPU nyala normal",Graphic Card
"Komputer nyala tapi cuma ada layar hitam, gak masuk ke BIOS",Hard Disk
"Pas mau buka game, PC langsung mati mendadak",Power Supply
"Komputer lemot banget setiap buka aplikasi berat kayak Photoshop",RAM
"Monitor gue tiba-tiba buram terus ada garis-garis",Graphic Card
"PC tiba-tiba mati pas gue lagi bikin video editing",Processor
"Setiap nyalain komputer ada suara aneh dari hardisk, kayak klik-klik gitu",Hard Disk
"USB port gak bisa kebaca meski udah coba beberapa device",Motherboard
"Setiap buka aplikasi berat, komputer suka freeze beberapa detik",Processor
"Komputer tiba-tiba restart sendiri pas lagi browsing",Power Supply
"Layar komputer gue jadi blur dan suka ada flicker",Graphic Card
"Komputer lambat banget setiap buka aplikasi desain, kayak RAM-nya kurang",RAM
"Monitor gak mau nyala meskipun komputer udah running normal",Graphic Card
"Setiap buka game berat, komputer langsung mati total",Power Supply
"PC tiba-tiba mati terus ada suara bip panjang, gak bisa masuk ke Windows",Motherboard
"Komputer panas banget pas dipake multitasking, terus hang",Processor
